k,max,max value,min,min value,median,average
1,299,837798,2,0,60,64.51205251
3,256,820020,2,2,55,59.14327514
5,266,822266,2,4,47,52.92817593
7,286,828878,2,6,50,55.21699322
9,256,922518,2,8,48,53.83324383
11,360,959044,2,10,56,60.41824442
13,297,896786,2,12,49,53.72574473
15,235,946896,2,14,42,47.50740151
17,324,391352,2,16,69,72.06050106
19,324,391754,2,18,63,67.6978847
21,281,786826,2,20,45,49.86431386
23,325,844124,2,22,68,71.25222025
25,314,874118,2,24,57,65.57200657
27,205,849892,2,26,42,48.52042952
29,406,591242,2,28,67,71.43057243
31,341,842616,2,30,71,76.1040371
33,291,634758,2,32,50,54.97191297
35,276,829904,2,34,53,57.48999249
37,308,883332,2,36,52,57.17456217
39,284,807996,2,38,44,48.32056832
41,346,944854,2,40,84,88.09359109
43,312,787220,2,42,99,98.42963543
45,226,379162,2,44,37,42.08385808
47,316,933686,2,46,62,66.86562987
49,350,859178,2,48,85,87.34583735
51,326,782688,2,50,64,66.57690358
53,512,991412,2,52,84,88.73830974
55,289,853152,2,54,55,60.76823377
57,326,587622,2,56,58,62.28204028
59,325,763988,2,58,62,69.02644203
61,374,765890,2,60,79,83.32770333
63,280,663832,2,62,40,44.47193847
65,304,871528,2,64,71,72.62163362
67,345,851708,2,66,107,109.8140278
69,321,400602,2,68,64,65.88892789
71,315,917470,2,70,71,75.79015679
73,399,783728,2,72,92,94.32740933
75,307,622248,2,74,51,60.11138411
77,317,727724,2,76,96,94.80974481
79,353,749462,2,78,100,104.6059216
81,200,840366,2,80,34,43.01015401
83,274,868268,2,82,70,74.2020122
85,445,394748,2,84,166,162.7139047
87,311,648192,2,86,63,65.98912699
89,323,877538,2,88,78,82.22771823
91,375,981656,2,90,81,93.94628395
93,332,899794,2,92,65,70.68938969
95,371,899840,2,94,79,93.76323976
97,391,762206,2,96,74,79.68479168
99,263,686932,2,98,45,49.56030256
101,310,657062,2,100,69,72.03429703
103,347,981872,2,102,105,111.1418801
105,250,598854,2,104,47,52.07546608
107,470,835796,2,106,221,220.7483037
109,405,978932,2,108,124,125.8787039
111,308,993744,2,110,47,51.72781173
113,424,380906,2,112,110,117.7864218
115,375,621092,2,114,84,85.55231255
117,264,921402,2,116,39,42.995315
119,410,513248,2,118,90,101.3372973
121,468,936998,2,120,138,144.1194021
123,346,733980,2,122,78,82.60656561
125,369,554030,2,124,91,96.51821652
127,339,688886,2,126,102,106.968942
129,299,651646,2,128,94,92.97401097
131,371,947738,2,130,94,98.28932329
133,378,434306,2,132,93,95.70819271
135,228,758280,2,134,31,36.72830673
137,386,951632,2,136,103,109.6759547
139,522,789548,2,138,240,243.7952498
141,314,787746,2,140,56,61.42318642
143,512,658640,2,142,86,135.5638166
145,308,834702,2,144,74,77.93613894
147,316,913024,2,146,80,81.99187399
149,410,694154,2,148,153,151.1225721
151,401,887324,2,150,105,104.3174303
153,271,912526,2,152,60,61.02737803
155,364,895576,2,154,110,112.012279
157,428,871022,2,156,154,147.6645417
159,511,836512,2,158,79,83.23720024
161,338,835706,2,160,80,83.34847535
163,409,627548,2,162,151,155.0977291
165,285,532066,2,164,50,55.26053426
167,432,598832,2,166,104,105.6668037
169,423,893382,2,168,91,95.2978653
171,292,665268,2,170,53,56.88950289
173,314,882170,2,172,79,83.93466093
175,346,866448,2,174,55,60.26242526
177,322,966894,2,176,57,63.61270261
179,488,869068,2,178,210,212.8735059
181,382,902364,2,180,99,107.042764
183,297,616288,2,182,74,77.8036198
185,446,878182,2,184,176,161.9100049
187,414,876324,2,186,94,101.3906084
189,280,995682,2,188,35,39.08927109
191,460,492422,2,190,124,127.0540451
193,410,895934,2,192,131,131.8114708
195,296,686196,2,194,66,67.18702719
197,536,943142,2,196,267,263.8495858
199,597,562814,2,198,148,160.1849862
