k,max,max value,median,average
1,15.21558769,626331,3.257542304,3.489755266
3,13.49970431,461261,2.933794887,3.197304556
5,13.64970712,71099,2.554640916,2.858386431
7,16.18856128,124477,2.70906433,2.98339247
9,12.91936155,922519,2.612114821,2.907840489
11,18.11663445,959045,3.017808954,3.266538083
13,15.43193235,303007,2.642028396,2.902028552
15,13.02760252,142193,2.262397532,2.563016854
17,17.78330862,293519,3.759977803,3.900748382
19,21,1,3.410199942,3.663404698
21,15.39707302,248947,2.42856047,2.691607992
23,48,1,3.712733929,3.857330938
25,17.00109393,196899,3.056955978,3.547268366
27,10.60670929,616229,2.236280295,2.617629393
29,24,3,3.661706864,3.866716831
31,24,1,3.830584153,4.121528369
33,19,1,2.737391564,2.969912017
35,14.30060054,23901,2.84298985,3.107052323
37,16.17116253,496891,2.828051172,3.089748929
39,14.73270575,606001,2.362325296,2.607886274
41,20,1,4.534301817,4.774541918
43,26.49063962,9,5.365097912,5.337880856
45,15,1,1.969730687,2.267844053
47,29,1,3.346256537,3.617858024
49,47,1,4.629224387,4.734500398
51,35,1,3.499950033,3.601754405
53,59,1,4.54610976,4.809804295
55,15.70354987,266061,2.97910401,3.285369582
57,17.09411898,88807,3.128091638,3.368336555
59,28,1,3.382523834,3.735779709
61,23.59802124,5,4.303769758,4.514700342
63,24,1,2.145474468,2.397986804
65,27,1,3.82577033,3.931686709
67,74,1,5.820726776,5.95859763
69,56,1,3.463199258,3.565211704
71,64,1,3.843320934,4.104892897
73,61,1,4.954576736,5.114813973
75,24,1,2.754712688,3.249513852
77,48,3,5.217457425,5.141296583
79,44,1,5.434638497,5.674633025
81,11,1,1.81640057,2.316722089
83,36,1,3.775865071,4.017591426
85,110,1,9.011904062,8.841448595
87,53,1,3.396341194,3.570220008
89,38,1,4.25039638,4.455516096
91,51.83827617,5,4.357421055,5.094665313
93,29,1,3.541056599,3.826371123
95,72,1,4.271873362,5.084335558
97,20.0104144,762207,4.031276375,4.316306045
99,13.80781084,515197,2.459563997,2.675450661
101,63,1,3.707271315,3.899211936
103,46,1,5.693783578,6.031115607
105,22,1,2.561964488,2.812084893
107,106,1,11.9554323,12.00506937
109,57,1,6.704910057,6.834465974
111,15.45989346,993745,2.540824185,2.792993052
113,47.5,3,5.948176042,6.392831263
115,34,1,4.56084758,4.636529321
117,17,1,2.094785531,2.318981978
119,75,1,4.848939605,5.496672778
121,45,1,7.465172575,7.827809523
123,43,1,4.236968413,4.47557132
125,36.33333333,7,4.911158804,5.233879434
127,37,1,5.514782843,5.803574059
129,50,1,5.100795583,5.040640993
131,30,1,5.100001439,5.330678553
133,46,1,5.025875788,5.189277739
135,15,1,1.692700193,1.977207272
137,44,3,5.585884333,5.950859728
139,137,1,13.00350492,13.26010146
141,38,1,3.061317038,3.321004415
143,146,1,4.599621268,7.361936709
145,17.5,3,4.02395181,4.22112982
147,39,1,4.362906127,4.443016181
149,76,3,8.276126495,8.210058329
151,98,1,5.664357217,5.660139304
153,35,1,3.231827505,3.299549779
155,44,7,5.97226125,6.07803265
157,73,1,8.320382091,8.021715771
159,59,1,4.267059523,4.51036721
161,76,1,4.357349221,4.51650064
163,93,1,8.209923403,8.426320689
165,14.98324155,532067,2.677399813,2.98555568
167,68,1,5.642854858,5.732221878
169,29.01396054,5,4.940815402,5.167046148
171,17,1,2.852198531,3.074881808
173,39,1,4.286533258,4.548484574
175,17.88333385,234273,2.977232298,3.257918077
177,31,1,3.109433335,3.440976165
179,174,1,11.40407628,11.57518424
181,32.108783,5,5.352947553,5.807145007
183,43,1,4.022741931,4.213826411
185,107,3,9.478936307,8.797560102
187,74,1,5.089396161,5.499896077
189,30,1,1.871399368,2.105959219
191,71,1,6.715409045,6.897909621
193,66,1,7.082704975,7.157348914
195,47,1,3.555957175,3.636086349
197,159,1,14.39079802,14.35309061
199,74.47776649,11,8.005851753,8.70245063
